skill,param,class,value
Q_4_S_100,forgets,default,0.987492382527527
Q_5_S_100,prior,default,0.9872351208553288
Q_5_S_100,learns,default,0.6012370242538734
Q_5_S_100,guesses,default,1.0
Q_5_S_100,slips,default,0.0
Q_5_S_100,forgets,default,0.05047933920235664
Q_6_S_100,prior,default,0.017168633401317846
Q_6_S_100,learns,default,0.1353506732539255
Q_6_S_100,guesses,default,0.21971805076875195
Q_6_S_100,slips,default,0.6206456255433638
Q_6_S_100,forgets,default,0.10894015566303539
Q_7_S_100,prior,default,0.6588730994788942
Q_7_S_100,learns,default,0.05270449541936863
Q_7_S_100,guesses,default,0.0
Q_7_S_100,slips,default,1.0
Q_7_S_100,forgets,default,0.989404719799606
Q_0_S_101,prior,default,0.9999995113856869
Q_0_S_101,learns,default,0.021238866414427314
Q_0_S_101,guesses,default,2.479309127944055e-07
Q_0_S_101,slips,default,0.028402219411807927
Q_0_S_101,forgets,default,0.991899915044414
Q_1_S_101,prior,default,0.12782908609761814
Q_1_S_101,learns,default,0.10507124863356913
Q_1_S_101,guesses,default,0.0
Q_1_S_101,slips,default,1.0
Q_1_S_101,forgets,default,0.8942037301599094
Q_2_S_101,prior,default,0.05013746763221177
Q_2_S_101,learns,default,0.022781159584050675
Q_2_S_101,guesses,default,0.0
Q_2_S_101,slips,default,1.0
Q_2_S_101,forgets,default,0.6924710931818802
Q_3_S_101,prior,default,0.0008592363367344717
Q_3_S_101,learns,default,0.8988495094317827
Q_3_S_101,guesses,default,0.05934148191429825
Q_3_S_101,slips,default,0.03472275348998044
Q_3_S_101,forgets,default,0.5012447813306182
Q_4_S_101,prior,default,0.02754573316512855
Q_4_S_101,learns,default,0.01850353316497905
Q_4_S_101,guesses,default,0.0
Q_4_S_101,slips,default,1.0
Q_4_S_101,forgets,default,0.9403836286502935
Q_5_S_101,prior,default,0.9939373772949797
Q_5_S_101,learns,default,0.9878559649339603
Q_5_S_101,guesses,default,1.0
Q_5_S_101,slips,default,0.0
Q_5_S_101,forgets,default,0.0005676230179715699
Q_6_S_101,prior,default,0.044916305234385126
Q_6_S_101,learns,default,0.9402284519314346
Q_6_S_101,guesses,default,0.06622728125748321
Q_6_S_101,slips,default,0.02271738575466151
Q_6_S_101,forgets,default,0.007340381589864612
Q_7_S_101,prior,default,0.5767510703647714
Q_7_S_101,learns,default,0.2545517164347236
Q_7_S_101,guesses,default,0.5746609115842205
Q_7_S_101,slips,default,0.22920755438831725
Q_7_S_101,forgets,default,0.4491081833174664
Q_0_S_102,prior,default,0.14741080178771981
Q_0_S_102,learns,default,0.20075921500064792
Q_0_S_102,guesses,default,0.0
Q_0_S_102,slips,default,1.0
Q_0_S_102,forgets,default,0.6764573963253518
Q_1_S_102,prior,default,0.9984041422542188
Q_1_S_102,learns,default,0.814258199730734
Q_1_S_102,guesses,default,0.39530050239955633
Q_1_S_102,slips,default,7.102508370567066e-05
Q_1_S_102,forgets,default,0.7922660552903257
Q_2_S_102,prior,default,0.003757255464489108
Q_2_S_102,learns,default,0.011096022237340044
Q_2_S_102,guesses,default,0.0
Q_2_S_102,slips,default,1.0
Q_2_S_102,forgets,default,0.8058156624583858
Q_3_S_102,prior,default,0.9155760427763259
Q_3_S_102,learns,default,0.3419841622977903
Q_3_S_102,guesses,default,0.21883941433959045
Q_3_S_102,slips,default,0.005535660142886409
Q_3_S_102,forgets,default,0.9985028752924424
Q_4_S_102,prior,default,0.842648280815881
Q_4_S_102,learns,default,0.5291508316964986
Q_4_S_102,guesses,default,0.37860902067599267
Q_4_S_102,slips,default,0.7050864184016313
Q_4_S_102,forgets,default,0.7138670524574926
Q_5_S_102,prior,default,0.8977972532765688
Q_5_S_102,learns,default,0.44073770440810456
Q_5_S_102,guesses,default,1.0
Q_5_S_102,slips,default,0.0
Q_5_S_102,forgets,default,0.5228597694452917
Q_6_S_102,prior,default,0.029683283245540426
Q_6_S_102,learns,default,0.0676826280806164
Q_6_S_102,guesses,default,0.0
Q_6_S_102,slips,default,1.0
Q_6_S_102,forgets,default,0.3479541710378731
Q_7_S_102,prior,default,0.005451022776530401
Q_7_S_102,learns,default,0.03801468401087784
Q_7_S_102,guesses,default,0.0
Q_7_S_102,slips,default,1.0
Q_7_S_102,forgets,default,0.884560591369995
Q_0_S_103,prior,default,0.11169133970145892
Q_0_S_103,learns,default,0.08479823077078168
Q_0_S_103,guesses,default,0.3303170609130002
Q_0_S_103,slips,default,0.6405626617270401
Q_0_S_103,forgets,default,0.7761919746781473
Q_1_S_103,prior,default,0.2857438084959274
Q_1_S_103,learns,default,0.468973999953348
Q_1_S_103,guesses,default,0.647638310801354
Q_1_S_103,slips,default,0.17316601687139804
Q_1_S_103,forgets,default,0.11986980504806502
Q_2_S_103,prior,default,0.03904181693253731
Q_2_S_103,learns,default,0.0015300325202923098
Q_2_S_103,guesses,default,0.3249293560783534
Q_2_S_103,slips,default,0.08272322710673026
Q_2_S_103,forgets,default,0.9872292156309712
Q_3_S_103,prior,default,0.27947136867404776
Q_3_S_103,learns,default,0.7015571602417919
Q_3_S_103,guesses,default,1.0
Q_3_S_103,slips,default,0.0
Q_3_S_103,forgets,default,0.17464998127562698
Q_4_S_103,prior,default,0.16164489739639923
Q_4_S_103,learns,default,0.3593518123228668
Q_4_S_103,guesses,default,1.0
Q_4_S_103,slips,default,0.0
Q_4_S_103,forgets,default,0.37962376861017294
Q_5_S_103,prior,default,0.8500581902039662
Q_5_S_103,learns,default,0.5317994145688476
Q_5_S_103,guesses,default,1.0
Q_5_S_103,slips,default,0.0
