skill,param,class,value
Q_1_S_100,learns,default,0.006527031594420591
Q_1_S_100,guesses,default,0.010487604882906645
Q_1_S_100,slips,default,0.04029189667706766
Q_1_S_100,forgets,default,0.9724368316173431
Q_2_S_100,prior,default,0.9515275046108684
Q_2_S_100,learns,default,0.01298245785038389
Q_2_S_100,guesses,default,0.016135839236521083
Q_2_S_100,slips,default,0.044625281033146676
Q_2_S_100,forgets,default,0.9814230747501395
Q_3_S_100,prior,default,0.9896210531044876
Q_3_S_100,learns,default,0.4387732825300021
Q_3_S_100,guesses,default,1.0
Q_3_S_100,slips,default,0.0
Q_3_S_100,forgets,default,0.053371047462899085
Q_4_S_100,prior,default,0.9999985704422064
Q_4_S_100,learns,default,0.005638380331018678
Q_4_S_100,guesses,default,4.78479520558044e-07
Q_4_S_100,slips,default,0.012142721435501356
Q_4_S_100,forgets,default,0.998953626621044
Q_5_S_100,prior,default,0.7929939909326593
Q_5_S_100,learns,default,0.32627078113466007
Q_5_S_100,guesses,default,1.0
Q_5_S_100,slips,default,0.0
Q_5_S_100,forgets,default,0.8663727789293246
Q_6_S_100,prior,default,0.004002526639252507
Q_6_S_100,learns,default,0.32009285910512597
Q_6_S_100,guesses,default,0.0901969613151077
Q_6_S_100,slips,default,0.04457504388426841
Q_6_S_100,forgets,default,0.9905684533380285
Q_7_S_100,prior,default,0.15767695873132645
Q_7_S_100,learns,default,0.061897322093189724
Q_7_S_100,guesses,default,0.0
Q_7_S_100,slips,default,1.0
Q_7_S_100,forgets,default,0.97540200598606
Q_0_S_101,prior,default,0.9999975947359232
Q_0_S_101,learns,default,0.013315075960204646
Q_0_S_101,guesses,default,8.235884271340991e-07
Q_0_S_101,slips,default,0.07367444533727682
Q_0_S_101,forgets,default,0.9495079351408209
Q_1_S_101,prior,default,0.014047039712034512
Q_1_S_101,learns,default,0.03322579234072306
Q_1_S_101,guesses,default,0.0
Q_1_S_101,slips,default,1.0
Q_1_S_101,forgets,default,0.8668197258983602
Q_2_S_101,prior,default,0.21179601934962045
Q_2_S_101,learns,default,0.039962135892720796
Q_2_S_101,guesses,default,0.0
Q_2_S_101,slips,default,1.0
Q_2_S_101,forgets,default,0.6323208464416998
Q_3_S_101,prior,default,3.5570941585040214e-06
Q_3_S_101,learns,default,0.7868653156853768
Q_3_S_101,guesses,default,0.11674249760515731
Q_3_S_101,slips,default,0.0028907314971174346
Q_3_S_101,forgets,default,0.5697765761396347
Q_4_S_101,prior,default,0.03565843514633181
Q_4_S_101,learns,default,0.010687368079405598
Q_4_S_101,guesses,default,0.0
Q_4_S_101,slips,default,1.0
Q_4_S_101,forgets,default,0.9849772499942213
Q_5_S_101,prior,default,0.8843689633357472
Q_5_S_101,learns,default,0.691510696167766
Q_5_S_101,guesses,default,1.0
Q_5_S_101,slips,default,0.0
Q_5_S_101,forgets,default,0.2213503330928348
Q_6_S_101,prior,default,0.7854756948687871
Q_6_S_101,learns,default,0.49656054370217584
Q_6_S_101,guesses,default,0.5548385631754842
Q_6_S_101,slips,default,0.0034561067637607313
Q_6_S_101,forgets,default,0.880693516079783
Q_7_S_101,prior,default,0.0005552890080663316
Q_7_S_101,learns,default,0.8224401241884632
Q_7_S_101,guesses,default,0.10158838395006453
Q_7_S_101,slips,default,0.026446472237439216
Q_7_S_101,forgets,default,0.5372639534911657
Q_0_S_102,prior,default,0.05375010057146684
Q_0_S_102,learns,default,0.005258591627997164
Q_0_S_102,guesses,default,0.0
Q_0_S_102,slips,default,1.0
Q_0_S_102,forgets,default,0.9809101951041244
